sigma_delta_iteration +erosion = 68542314
sigma_delta_iteration +erosion = 58232981
sigma_delta_iteration +erosion = 57895730
sigma_delta_iteration +erosion = 56770540
sigma_delta_iteration +erosion = 56411710
sigma_delta_iteration +erosion = 57249792
sigma_delta_iteration +erosion = 56715781
sigma_delta_iteration +erosion = 56994364
sigma_delta_iteration +erosion = 56979568
sigma_delta_iteration +erosion = 56571346
sigma_delta_iteration +erosion = 57414969
sigma_delta_iteration +erosion = 56978644
sigma_delta_iteration +erosion = 57199712
sigma_delta_iteration +erosion = 57764082
sigma_delta_iteration +erosion = 57058994
sigma_delta_iteration +erosion = 56557461
sigma_delta_iteration +erosion = 56608509
sigma_delta_iteration +erosion = 56607870
sigma_delta_iteration +erosion = 56574893
sigma_delta_iteration +erosion = 56607164
sigma_delta_iteration +erosion = 56767901
sigma_delta_iteration +erosion = 55069364
sigma_delta_iteration +erosion = 54114387
sigma_delta_iteration +erosion = 54104412
sigma_delta_iteration +erosion = 54128774
sigma_delta_iteration_prodcons + erosion_reduction = 44622985
sigma_delta_iteration_prodcons + erosion_reduction = 34127874
sigma_delta_iteration_prodcons + erosion_reduction = 36555358
sigma_delta_iteration_prodcons + erosion_reduction = 34164985
sigma_delta_iteration_prodcons + erosion_reduction = 33988537
sigma_delta_iteration_prodcons + erosion_reduction = 34504731
sigma_delta_iteration_prodcons + erosion_reduction = 34138505
sigma_delta_iteration_prodcons + erosion_reduction = 34080784
sigma_delta_iteration_prodcons + erosion_reduction = 34384540
sigma_delta_iteration_prodcons + erosion_reduction = 34676921
sigma_delta_iteration_prodcons + erosion_reduction = 35327854
sigma_delta_iteration_prodcons + erosion_reduction = 34303144
sigma_delta_iteration_prodcons + erosion_reduction = 34346923
sigma_delta_iteration_prodcons + erosion_reduction = 34177368
sigma_delta_iteration_prodcons + erosion_reduction = 35414464
sigma_delta_iteration_prodcons + erosion_reduction = 34310524
sigma_delta_iteration_prodcons + erosion_reduction = 34332906
sigma_delta_iteration_prodcons + erosion_reduction = 34330505
sigma_delta_iteration_prodcons + erosion_reduction = 34034891
sigma_delta_iteration_prodcons + erosion_reduction = 34003102
sigma_delta_iteration_prodcons + erosion_reduction = 33765600
sigma_delta_iteration_prodcons + erosion_reduction = 33798310
sigma_delta_iteration_prodcons + erosion_reduction = 36508687
sigma_delta_iteration_prodcons + erosion_reduction = 34242443
sigma_delta_iteration_prodcons + erosion_reduction = 34581372
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 52830752
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36852839
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 37562748
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36853241
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 37856484
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 35787286
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 34367582
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36322752
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36001229
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 37109233
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36548834
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36335222
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36671431
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 37558652
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36939429
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36160476
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36012657
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36190741
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 37759018
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 36932377
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 39573598
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 34497112
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 34781597
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 34795547
sigma_delta_iteration_prodcons + erosion_reduction_deroulage = 34433516
sigma_delta_iteration_prodcons + erosion_openmp = 51376276
sigma_delta_iteration_prodcons + erosion_openmp = 50282266
sigma_delta_iteration_prodcons + erosion_openmp = 48614518
sigma_delta_iteration_prodcons + erosion_openmp = 49239571
sigma_delta_iteration_prodcons + erosion_openmp = 48374285
sigma_delta_iteration_prodcons + erosion_openmp = 49743926
sigma_delta_iteration_prodcons + erosion_openmp = 49375595
sigma_delta_iteration_prodcons + erosion_openmp = 49805489
sigma_delta_iteration_prodcons + erosion_openmp = 48651497
sigma_delta_iteration_prodcons + erosion_openmp = 49148535
sigma_delta_iteration_prodcons + erosion_openmp = 49038184
sigma_delta_iteration_prodcons + erosion_openmp = 49187558
sigma_delta_iteration_prodcons + erosion_openmp = 49539667
sigma_delta_iteration_prodcons + erosion_openmp = 48966008
sigma_delta_iteration_prodcons + erosion_openmp = 49914017
sigma_delta_iteration_prodcons + erosion_openmp = 49580357
sigma_delta_iteration_prodcons + erosion_openmp = 49274510
sigma_delta_iteration_prodcons + erosion_openmp = 49299387
sigma_delta_iteration_prodcons + erosion_openmp = 49074934
sigma_delta_iteration_prodcons + erosion_openmp = 49905241
sigma_delta_iteration_prodcons + erosion_openmp = 49001294
sigma_delta_iteration_prodcons + erosion_openmp = 50417950
sigma_delta_iteration_prodcons + erosion_openmp = 48805199
sigma_delta_iteration_prodcons + erosion_openmp = 49234800
sigma_delta_iteration_prodcons + erosion_openmp = 49264980
