sigma_delta_SIMD_iteration +erosion_SIMD = 13017004
sigma_delta_SIMD_iteration +erosion_SIMD = 11557166
sigma_delta_SIMD_iteration +erosion_SIMD = 11281858
sigma_delta_SIMD_iteration +erosion_SIMD = 11449901
sigma_delta_SIMD_iteration +erosion_SIMD = 11297932
sigma_delta_SIMD_iteration +erosion_SIMD = 10977243
sigma_delta_SIMD_iteration +erosion_SIMD = 10912265
sigma_delta_SIMD_iteration +erosion_SIMD = 11057376
sigma_delta_SIMD_iteration +erosion_SIMD = 11107907
sigma_delta_SIMD_iteration +erosion_SIMD = 11450662
sigma_delta_SIMD_iteration +erosion_SIMD = 11229273
sigma_delta_SIMD_iteration +erosion_SIMD = 11968219
sigma_delta_SIMD_iteration +erosion_SIMD = 11141672
sigma_delta_SIMD_iteration +erosion_SIMD = 11110649
sigma_delta_SIMD_iteration +erosion_SIMD = 11096648
sigma_delta_SIMD_iteration +erosion_SIMD = 10982534
sigma_delta_SIMD_iteration +erosion_SIMD = 11396663
sigma_delta_SIMD_iteration +erosion_SIMD = 11001596
sigma_delta_SIMD_iteration +erosion_SIMD = 11125787
sigma_delta_SIMD_iteration +erosion_SIMD = 11306637
sigma_delta_SIMD_iteration +erosion_SIMD = 11413234
sigma_delta_SIMD_iteration +erosion_SIMD = 11441028
sigma_delta_SIMD_iteration +erosion_SIMD = 11154510
sigma_delta_SIMD_iteration +erosion_SIMD = 11153942
sigma_delta_SIMD_iteration +erosion_SIMD = 11211029
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 12753106
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 11077726
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9942882
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 10455942
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 10074309
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 10642137
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9248663
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9320530
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9136299
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9233858
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 8905325
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 10325274
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9847047
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9541498
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9547184
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9509838
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9303100
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9275250
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9184342
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9650253
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9121396
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9254226
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9642257
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9355357
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction = 9302977
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12986699
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11472075
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11010642
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11970886
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11817995
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12092701
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11738629
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12158745
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12218261
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11929042
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11626845
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12161379
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11297451
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11546810
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12491999
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11492220
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 10991113
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11953253
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12068815
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12166578
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12002479
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12350563
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12163002
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 11978618
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_reduction_deroulage = 12265409
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7967541
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7804158
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 9621204
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 8025889
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7928714
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 8157905
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 9083734
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7836965
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7845702
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7842642
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 9212537
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 8242377
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7754729
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7833824
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7804698
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 9398499
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7764421
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7808146
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7250422
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 8216858
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7196322
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7240041
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 8379345
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7739322
sigma_delta_SIMD_iteration_prodcons + erosion_SIMD_openmp = 7821621
